Configuration,Description,Delivery_Success_Mean,Delivery_Success_Std,On_Time_Delivery_Mean,On_Time_Delivery_Std,Total_Distance_Mean,Total_Distance_Std,Total_Fuel_Mean,Total_Fuel_Std,CO2_Emissions_Mean,CO2_Emissions_Std,Avg_Delay_Mean,Avg_Delay_Std,Recovery_Time_Mean,Recovery_Time_Std
"Config A (Baseline PPO, No ML)",PPO agent without predictive model inputs,91.86,5.92,57.06,6.04,236.12,24.32,78.65,8.13,210.78,21.78,197.46,150.46,0.13,0.01
Config B (PPO + Travel Time),PPO with travel time regression,91.86,5.92,57.06,6.04,236.12,24.32,78.65,8.13,210.78,21.78,197.46,150.46,7.05,0.78
Config C (PPO + Fuel Predictor),PPO with ML fuel consumption model,89.64,7.55,58.56,5.44,229.66,18.26,76.36,5.95,204.65,15.95,154.85,124.94,7.21,0.92
Config D (PPO + Demand Predictor),PPO with spatial demand forecasting,91.86,5.92,57.06,6.04,236.12,24.32,78.65,8.13,210.78,21.78,199.28,153.7,10.8,2.29
Config E (Full SWARMRoute),PPO with all ML predictors integrated,89.64,7.55,58.56,5.44,229.66,18.26,76.36,5.95,204.65,15.95,154.85,124.94,26.5,5.11
